Folder,Accuracy
Average,0.62
Average,0.62
1,0.6025200458190149
2,0.6024774774774775
3,0.5481081081081081
4,0.602020202020202
5,0.655982905982906
6,0.574726609963548
7,0.6336515513126492
8,0.5682382133995038
9,0.6691176470588235
10,0.7216248506571087
