Folder,Accuracy
1,0.5441008018327605
2,0.4572072072072072
3,0.4562162162162162
4,0.46565656565656566
5,0.5523504273504274
6,0.42284325637910086
7,0.535799522673031
8,0.5521091811414393
9,0.5563725490196079
